Month-Year,Number of Tractor Sold
Jan-03,141
Feb-03,157
Mar-03,185
Apr-03,199
May-03,203
Jun-03,189
Jul-03,207
Aug-03,207
Sep-03,171
Oct-03,150
Nov-03,138
Dec-03,165
Jan-04,145
Feb-04,168
Mar-04,197
Apr-04,208
May-04,210
Jun-04,209
Jul-04,238
Aug-04,238
Sep-04,199
Oct-04,168
Nov-04,152
Dec-04,196
Jan-05,183
Feb-05,200
Mar-05,249
Apr-05,251
May-05,289
Jun-05,249
Jul-05,279
Aug-05,279
Sep-05,232
Oct-05,204
Nov-05,194
Dec-05,232
Jan-06,215
Feb-06,239
Mar-06,270
Apr-06,279
May-06,307
Jun-06,305
Jul-06,322
Aug-06,339
Sep-06,263
Oct-06,241
Nov-06,229
Dec-06,272
Jan-07,247
Feb-07,261
Mar-07,330
Apr-07,362
May-07,385
Jun-07,340
Jul-07,370
Aug-07,381
Sep-07,299
Oct-07,266
Nov-07,239
Dec-07,281
Jan-08,257
Feb-08,250
Mar-08,329
Apr-08,350
May-08,393
Jun-08,370
Jul-08,423
Aug-08,410
Sep-08,326
Oct-08,289
Nov-08,270
Dec-08,321
Jan-09,305
Feb-09,310
Mar-09,374
Apr-09,414
May-09,454
Jun-09,441
Jul-09,510
Aug-09,486
Sep-09,393
Oct-09,345
Nov-09,315
Dec-09,389
Jan-10,358
Feb-10,368
Mar-10,444
Apr-10,482
May-10,534
Jun-10,524
Jul-10,578
Aug-10,567
Sep-10,447
Oct-10,386
Nov-10,360
Dec-10,428
Jan-11,397
Feb-11,400
Mar-11,498
Apr-11,536
May-11,596
Jun-11,591
Jul-11,651
Aug-11,654
Sep-11,509
Oct-11,437
Nov-11,406
Dec-11,470
Jan-12,428
Feb-12,423
Mar-12,507
Apr-12,536
May-12,610
Jun-12,609
Jul-12,687
Aug-12,707
Sep-12,509
Oct-12,452
Nov-12,412
Dec-12,472
Jan-13,454
Feb-13,455
Mar-13,568
Apr-13,610
May-13,706
Jun-13,661
Jul-13,767
Aug-13,783
Sep-13,583
Oct-13,513
